Location,Climate File,ADMIN,LEARNING 1,LEARNING 2,PERFORMANCE,LEARNING 4,LEARNING 3,FOOD PREP,GYM,UnmetHoursCooling,UH Compliance,PeakHeatingLoad,PeakCoolingLoad,EUI
1A,TMY15WA,27,31,21,22,24,26,33,27,220,220,3988641,2568606,aaa
1A,TMY7WA,25,29,20,21,23,24,32,25,225,225,3988641,2568606,aaa
1A,TMY3WA,29,33,23,23,26,28,34,28,274,274,3988641,2568606,aaa
1A,TMY3,23,27,19,20,21,23,31,25,232,232,3988641,2568606,aaa
1A,TMY2,23,26,18,19,21,22,31,24,267,267,3988641,2568606,aaa
1A,MIN,18,21,15,15,17,18,25,20,313,313,3988641,2568606,aaa
1A,MAX,32,36,26,25,28,30,35,30,155,155,3988641,2568606,aaa
2A,TMY7WA,19,23,16,15,17,18,29,21,197,197,4129798,2359777,aaa
2A,TMY3WA,21,24,17,16,19,20,30,22,197,197,4129798,2359777,aaa
2A,TMY3,18,22,15,15,17,18,28,20,266,266,4129798,2359777,aaa
2A,TMY2,18,21,15,14,16,17,28,20,253,253,4129798,2359777,aaa
2A,TMY15WA,19,23,17,16,18,20,29,21,255,255,4129798,2359777,aaa
2A,MIN,17,20,15,13,16,16,22,18,363,363,4129798,2359777,aaa
2A,MAX,24,28,20,20,22,23,33,25,142,142,4129798,2359777,aaa
2B,TMY15WA,17,20,15,13,15,17,22,17,156,156,3651144,2933947,aaa
2B,TMY7WA,16,19,15,12,14,16,22,17,144,144,3651144,2933947,aaa
2B,TMY3WA,18,21,16,13,16,17,23,18,190,190,3651144,2933947,aaa
2B,TMY3,19,22,17,14,17,18,24,19,155,155,3651144,2933947,aaa
2B,TMY2,18,21,16,13,16,17,23,18,188,188,3651144,2933947,aaa
2B,MIN,16,18,14,11,14,15,18,16,222,222,3651144,2933947,aaa
2B,MAX,19,22,17,14,16,18,24,18,110,110,3651144,2933947,aaa
3A,TMY15WA,16,19,14,13,15,15,25,18,155,155,4399384,2052857,aaa
3A,TMY7WA,16,18,14,12,14,15,24,17,164,164,4399384,2052857,aaa
3A,TMY3WA,16,18,14,13,15,15,26,18,205,205,4399384,2052857,aaa
3A,TMY3,16,19,14,13,15,15,24,18,181,181,4399384,2052857,aaa
3A,TMY2,15,18,14,12,14,15,24,17,189,189,4399384,2052857,aaa
3A,MIN,16,18,15,13,15,15,19,16,251,251,4399384,2052857,aaa
3A,MAX,18,21,15,15,16,17,29,20,107,107,4399384,2052857,aaa
3B,TMY15WA,16,18,14,11,14,15,19,16,149,149,3934210,2476394,aaa
3B,TMY7WA,16,18,14,11,14,15,19,16,144,144,3934210,2476394,aaa
3B,TMY3WA,16,19,14,12,14,15,20,16,169,169,3934210,2476394,aaa
3B,TMY3,17,20,15,12,15,16,20,17,139,139,3934210,2476394,aaa
3B,TMY2,16,19,15,12,14,15,20,16,159,159,3934210,2476394,aaa
3B,MIN,15,17,14,11,14,14,16,15,199,199,3934210,2476394,aaa
3B,MAX,17,20,15,12,15,16,22,17,97,97,3934210,2476394,aaa
3C,TMY7WA,9,11,10,6,8,9,17,10,132,132,3542153,1819953,aaa
3C,TMY3WA,9,10,9,7,8,9,19,10,151,151,3542153,1819953,aaa
3C,TMY3,9,11,9,7,8,9,17,10,199,199,3542153,1819953,aaa
3C,TMY2,10,11,10,7,8,9,16,10,142,142,3542153,1819953,aaa
3C,TMY15WA,9,11,9,7,8,9,17,10,152,152,3542153,1819953,aaa
3C,MIN,12,13,12,8,10,10,13,11,225,225,3542153,1819953,aaa
3C,MAX,9,11,10,8,9,10,21,11,50,50,3542153,1819953,aaa
4A,TMY15WA,16,19,15,12,15,16,21,17,138,138,4495864,2141118,aaa
4A,TMY3,16,18,14,12,15,16,20,16,149,149,4495864,2141118,aaa
4A,TMY7WA,16,18,14,12,14,16,21,16,180,180,4495864,2141118,aaa
4A,TMY3WA,16,19,15,12,15,16,22,17,165,165,4495864,2141118,aaa
4A,TMY2,16,18,14,12,15,16,19,16,184,184,4495864,2141118,aaa
4A,MIN,16,17,14,12,14,15,16,15,248,248,4495864,2141118,aaa
4A,MAX,19,22,17,14,17,19,26,19,96,96,4495864,2141118,aaa
4B,TMY7WA,14,16,13,10,13,14,17,15,171,171,4290498,1920707,aaa
4B,TMY3WA,14,16,13,10,13,14,17,15,147,147,4290498,1920707,aaa
4B,TMY3,15,17,13,11,14,14,17,15,207,207,4290498,1920707,aaa
4B,TMY2,15,17,13,11,14,15,17,15,215,215,4290498,1920707,aaa
4B,TMY15WA,14,16,13,10,13,14,17,15,203,203,4290498,1920707,aaa
4B,MIN,16,18,15,12,15,15,15,15,243,243,4290498,1920707,aaa
4B,MAX,14,17,13,10,13,14,18,15,125,125,4290498,1920707,aaa
4C,TMY7WA,13,14,12,9,11,12,16,13,149,149,4030998,2015425,aaa
4C,TMY3WA,12,13,11,8,10,11,16,12,150,150,4030998,2015425,aaa
4C,TMY3,12,14,11,9,11,12,17,12,160,160,4030998,2015425,aaa
4C,TMY2,12,14,11,8,11,12,16,12,148,148,4030998,2015425,aaa
4C,TMY15WA,12,14,11,8,11,12,16,12,153,153,4030998,2015425,aaa
4C,MIN,15,16,14,10,13,14,12,14,221,221,4030998,2015425,aaa
4C,MAX,14,15,12,9,12,13,19,13,93,93,4030998,2015425,aaa
5A,TMY15WA,16,18,14,12,14,16,19,16,123,123,5085074,2034786,aaa
