Location,Climate File,FLOOR 1,Mech,FLOOR 2,AUDITORIUM,GYM,KITCHEN CAFETERIA,Unmet Hours (Heating),UnmetHoursCooling,UH Compliance,PeakHeatingLoad,PeakCoolingLoad,EUI
1A,TMY3WA,91,35,95,30,22,28,0,1,1,1347474,836799,aaa
1A,TMY7WA,86,32,93,26,19,25,2,1,3,1347474,836799,aaa
1A,TMY3,83,30,91,24,18,24,0,0,0,1347474,836799,aaa
1A,TMY2,83,30,91,24,18,24,0,1,1,1347474,836799,aaa
1A,TMY15WA,88,33,94,28,20,27,0,2,2,1347474,836799,aaa
1A,MIN,66,23,81,19,14,18,0,0,0,1347474,836799,aaa
1A,MAX,93,38,96,33,24,30,20,2,22,1347474,836799,aaa
2A,TMY7WA,85,27,87,21,15,22,6,2,8,3817965,2088790,aaa
2A,TMY3WA,88,29,90,23,16,24,1,2,3,3817965,2088790,aaa
2A,TMY3,82,25,85,20,14,21,1,8,9,3817965,2088790,aaa
2A,TMY2,81,25,84,20,13,21,0,2,2,3817965,2088790,aaa
2A,TMY15WA,86,27,88,21,15,23,0,3,3,3817965,2088790,aaa
2A,MIN,63,21,69,18,12,16,0,14,14,3817965,2088790,aaa
2A,MAX,94,35,95,28,19,27,23,2,25,3817965,2088790,aaa
2B,TMY7WA,17,21,19,17,14,16,4,10,14,3335691,2663299,aaa
2B,TMY3WA,19,23,20,19,15,18,0,19,19,3335691,2663299,aaa
2B,TMY3,20,23,22,20,16,18,0,22,22,3335691,2663299,aaa
2B,TMY2,19,22,21,19,15,17,0,17,17,3335691,2663299,aaa
2B,TMY15WA,18,22,20,18,15,17,2,13,15,3335691,2663299,aaa
2B,MIN,16,18,17,15,12,13,0,25,25,3335691,2663299,aaa
2B,MAX,20,25,21,20,17,19,55,3,58,3335691,2663299,aaa
3A,TMY7WA,74,22,78,17,12,17,47,5,52,4088501,1750283,aaa
3A,TMY3WA,78,23,82,17,12,18,29,7,36,4088501,1750283,aaa
3A,TMY3,73,22,77,17,12,18,0,6,6,4088501,1750283,aaa
3A,TMY2,71,21,76,16,12,17,4,3,7,4088501,1750283,aaa
3A,TMY15WA,76,23,80,17,12,18,0,8,8,4088501,1750283,aaa
3A,MIN,54,19,60,15,11,13,0,12,12,4088501,1750283,aaa
3A,MAX,88,29,90,20,14,22,188,2,190,4088501,1750283,aaa
3B,TMY7WA,16,20,17,17,16,16,15,13,28,3619627,2283118,aaa
3B,TMY3WA,17,21,18,18,16,17,10,16,26,3619627,2283118,aaa
3B,TMY3,17,20,19,19,17,17,8,15,23,3619627,2283118,aaa
3B,TMY2,17,20,18,18,17,17,14,9,23,3619627,2283118,aaa
3B,TMY15WA,17,20,18,18,16,17,10,16,26,3619627,2283118,aaa
3B,MIN,15,21,16,20,19,17,0,23,23,3619627,2283118,aaa
3B,MAX,18,21,19,18,17,17,115,0,115,3619627,2283118,aaa
3C,TMY7WA,56,7,62,8,7,8,6,2,8,3224919,1134247,aaa
3C,TMY3WA,63,8,68,8,7,10,2,2,4,3224919,1134247,aaa
3C,TMY3,57,8,63,8,7,8,0,8,8,3224919,1134247,aaa
3C,TMY2,54,8,60,9,8,8,2,2,4,3224919,1134247,aaa
3C,TMY15WA,58,8,64,8,7,9,0,5,5,3224919,1134247,aaa
3C,MIN,44,11,51,10,8,7,0,22,22,3224919,1134247,aaa
3C,MAX,69,11,74,10,8,12,36,0,36,3224919,1134247,aaa
4A,TMY7WA,16,23,18,17,12,15,106,159,265,4186155,1834987,aaa
4A,TMY3WA,17,25,19,18,13,16,96,133,229,4186155,1834987,aaa
4A,TMY3,16,23,18,17,12,15,11,196,207,4186155,1834987,aaa
4A,TMY2,16,22,18,17,12,15,25,122,147,4186155,1834987,aaa
4A,TMY15WA,17,25,19,18,13,16,26,192,218,4186155,1834987,aaa
4A,MIN,15,18,16,16,11,13,1,173,174,4186155,1834987,aaa
4A,MAX,20,34,22,20,15,20,371,109,480,4186155,1834987,aaa
4B,TMY7WA,14,21,16,15,15,12,131,1219,1350,3979020,1620069,aaa
4B,TMY3WA,13,23,16,14,16,12,112,1270,1382,3979020,1620069,aaa
4B,TMY3,14,23,16,15,15,13,59,1758,1817,3979020,1620069,aaa
4B,TMY2,14,22,16,15,15,13,118,1490,1608,3979020,1620069,aaa
4B,TMY15WA,14,23,16,15,16,12,122,1754,1876,3979020,1620069,aaa
4B,MIN,15,19,16,16,12,12,14,2341,2355,3979020,1620069,aaa
4B,MAX,14,27,16,15,20,13,539,484,1023,3979020,1620069,aaa
4C,TMY7WA,11,14,13,12,10,10,46,118,164,3717431,1703772,aaa
4C,TMY3WA,10,12,12,11,9,9,44,57,101,3717431,1703772,aaa
4C,TMY3,11,13,13,11,9,10,16,218,234,3717431,1703772,aaa
4C,TMY2,11,13,13,11,9,10,52,315,367,3717431,1703772,aaa
4C,TMY15WA,11,13,13,11,10,9,28,287,315,3717431,1703772,aaa
4C,MIN,14,16,15,15,10,9,0,866,866,3717431,1703772,aaa
4C,MAX,12,18,14,12,12,12,386,1,387,3717431,1703772,aaa
5A,5A_TMY7_WA,15,21,17,16,11,14,208,89,297,4783322,1715606,aaa
5A,5A_TMY3_WA,15,21,17,16,11,14,219,76,295,4783322,1715606,aaa
5A,5A_TMY3,15,21,17,16,11,14,51,83,134,4783322,1715606,aaa
5A,5A_TMY2,15,20,17,16,11,14,100,66,166,4783322,1715606,aaa
5A,5A_TMY15_WA,15,22,17,16,11,14,98,84,182,4783322,1715606,aaa
5A,5A_MIN_WA,16,19,16,16,11,12,5,154,159,4783322,1715606,aaa
5A,5A_MAX_WA,17,26,19,17,12,17,785,9,794,4783322,1715606,aaa
5B,TMY7WA,14,17,15,15,12,11,265,1057,1322,4593129,1623303,aaa
5B,TMY3WA,13,17,15,14,12,11,231,1077,1308,4593129,1623303,aaa
5B,TMY3,14,19,15,14,14,12,230,839,1069,4593129,1623303,aaa
5B,TMY2,14,19,15,15,13,12,295,867,1162,4593129,1623303,aaa
5B,TMY15WA,13,17,15,14,12,11,237,914,1151,4593129,1623303,aaa
5B,MIN,18,21,18,18,13,13,73,1689,1762,4593129,1623303,aaa
5B,MAX,13,20,15,13,14,11,1333,85,1418,4593129,1623303,aaa
5C,TMY7WA,11,12,12,11,9,8,54,9,63,3909844,1097704,aaa
5C,TMY3WA,10,11,12,11,9,9,56,9,65,3909844,1097704,aaa
5C,TMY2,15,19,17,16,11,13,10,115,125,3909844,1097704,aaa
5C,TMY15WA,10,11,12,11,9,8,33,32,65,3909844,1097704,aaa
5C,MIN,14,16,14,15,10,9,16,29,45,3909844,1097704,aaa
5C,MAX,10,13,13,11,9,10,0,356,356,3909844,1097704,aaa
5C,doeCWEC,11,12,12,11,9,9,365,0,365,3909844,1097704,aaa
5C,CWEC,11,12,12,11,9,9,491,96,587,5063981,1659937,aaa
6A,TMY7WA,15,21,17,16,11,14,404,150,554,5063981,1659937,aaa
6A,TMY3WA,15,21,17,16,11,14,106,195,301,5063981,1659937,aaa
6A,TMY3,16,21,18,17,12,14,335,181,516,5063981,1659937,aaa
6A,TMY2,16,21,18,16,12,14,278,260,538,5063981,1659937,aaa
6A,TMY15WA,15,22,17,16,12,14,32,449,481,5063981,1659937,aaa
6A,MIN,17,21,18,17,12,13,1079,92,1171,5063981,1659937,aaa
6A,MAX,18,29,20,18,14,17,426,686,1112,5141729,1535761,aaa
6B,TMY7WA,36,65,37,37,22,38,344,645,989,5141729,1535761,aaa
6B,TMY3WA,14,18,15,15,13,11,214,947,1161,5141729,1535761,aaa
6B,TMY3,13,18,15,14,12,11,0,2153,2153,5141729,1535761,aaa
6B,TMY2,14,18,15,15,12,11,242,797,1039,5141729,1535761,aaa
6B,TMY15WA,13,17,15,14,12,10,97,1513,1610,5141729,1535761,aaa
6B,MIN,18,23,19,19,13,14,1388,81,1469,5141729,1535761,aaa
6B,MAX,13,20,15,14,15,11,681,64,745,5145132,1362498,aaa
7,TMY7WA,15,19,16,15,11,13,613,65,678,5145132,1362498,aaa
7,TMY3WA,14,18,16,15,11,12,198,152,350,5145132,1362498,aaa
7,TMY3,15,19,16,16,11,12,407,145,552,5145132,1362498,aaa
7,TMY2,15,19,16,16,11,12,290,103,393,5145132,1362498,aaa
7,TMY15WA,14,18,16,15,11,13,52,281,333,5145132,1362498,aaa
7,MIN,17,21,18,18,12,13,1211,25,1236,5145132,1362498,aaa
7,MAX,16,24,18,16,12,15,1316,97,1413,5939305,1242278,aaa
8,TMY7WA,16,20,17,16,12,13,1175,163,1338,5939305,1242278,aaa
8,TMY3WA,15,20,17,16,12,12,671,450,1121,5939305,1242278,aaa
8,TMY3,16,21,18,17,12,14,955,259,1214,5939305,1242278,aaa
8,TMY2,17,21,18,18,12,14,873,445,1318,5939305,1242278,aaa
8,TMY15WA,16,20,17,16,12,13,224,955,1179,5939305,1242278,aaa
8,MIN,21,26,21,22,14,16,1904,0,1904,5939305,1242278,aaa
8,MAX,15,20,17,15,14,12,1904,0,1904,5939305,1242278,aaa
