Location,Climate File,FLOOR 1,Mech,FLOOR 2,AUDITORIUM,GYM,KITCHEN CAFETERIA,UnmetHoursCooling,UH Compliance,PeakHeatingLoad,PeakCoolingLoad,EUI
1A,TMY7WA,84,25,91,24,18,0,2,2,3658993,1897464,aaa
1A,TMY3WA,89,29,94,28,20,0,1,1,3658993,1897464,aaa
1A,TMY3,81,24,89,23,17,0,1,1,3658993,1897464,aaa
1A,TMY2,80,23,89,22,16,0,0,0,3658993,1897464,aaa
1A,TMY15WA,86,27,92,26,19,0,0,0,3658993,1897464,aaa
1A,MIN,62,18,75,18,13,0,0,0,3658993,1897464,aaa
1A,MAX,92,32,95,31,23,37,1,38,3658993,1897464,aaa
2A,TMY7WA,81,20,83,20,13,27,4,31,3817965,1653078,aaa
2A,TMY3WA,84,22,86,21,14,18,0,18,3817965,1653078,aaa
2A,TMY3,77,19,80,19,13,1,4,5,3817965,1653078,aaa
2A,TMY2,77,19,80,18,12,7,1,8,3817965,1653078,aaa
2A,TMY15WA,83,20,84,20,13,7,1,8,3817965,1653078,aaa
2A,MIN,58,19,63,17,12,0,20,20,3817965,1653078,aaa
2A,MAX,93,27,93,25,17,122,2,124,3817965,1653078,aaa
2B,TMY7WA,80,20,81,18,15,18,9,27,3335691,2398787,aaa
2B,TMY3WA,82,22,83,20,16,5,15,20,3335691,2398787,aaa
2B,TMY3,83,22,84,21,17,7,16,23,3335691,2398787,aaa
2B,TMY2,81,21,82,20,16,11,17,28,3335691,2398787,aaa
2B,TMY15WA,80,21,81,19,16,11,21,32,3335691,2398787,aaa
2B,MIN,64,19,67,16,12,0,28,28,3335691,2398787,aaa
2B,MAX,87,24,86,21,19,139,3,142,3335691,2398787,aaa
3A,TMY7WA,69,18,72,16,11,47,2,49,4088501,1385332,aaa
3A,TMY3WA,73,18,76,16,11,37,6,43,4088501,1385332,aaa
3A,TMY3,67,18,71,16,11,1,5,6,4088501,1385332,aaa
3A,TMY2,66,17,70,15,11,8,0,8,4088501,1385332,aaa
3A,TMY15WA,71,18,74,16,11,3,6,9,4088501,1385332,aaa
