Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,9,9,9,9,3C,TMY15WA_BSEW0182,3542153,1819953,58
LEARNING 1,11,11,11,11,3C,TMY15WA_BSEW0183,3542153,1819953,58
LEARNING 2,9,9,9,9,3C,TMY15WA_BSEW0184,3542153,1819953,58
PERFORMANCE,7,7,7,7,3C,TMY15WA_BSEW0185,3542153,1819953,58
LEARNING 4,8,8,8,8,3C,TMY15WA_BSEW0186,3542153,1819953,58
LEARNING 3,9,9,9,9,3C,TMY15WA_BSEW0187,3542153,1819953,58
FOOD PREP,17,17,17,17,3C,TMY15WA_BSEW0188,3542153,1819953,58
GYM,10,10,10,10,3C,TMY15WA_BSEW0189,3542153,1819953,58
Unmet Hours (Heating),0,0,0,0,3C,TMY15WA_BSEW0190,3542153,1819953,58
Unmet Hours (Cooling),152,154,154,157,3C,TMY15WA_BSEW0191,3542153,1819953,58
UH Compliance,152,154,154,157,3C,TMY15WA_BSEW0192,3542153,1819953,58
