Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,16,16,16,16,4A,TMY15WA_BSEW0182,4495864,2141118,73
LEARNING 1,19,19,19,19,4A,TMY15WA_BSEW0183,4495864,2141118,73
LEARNING 2,15,15,14,14,4A,TMY15WA_BSEW0184,4495864,2141118,73
PERFORMANCE,12,12,12,12,4A,TMY15WA_BSEW0185,4495864,2141118,73
LEARNING 4,15,15,15,15,4A,TMY15WA_BSEW0186,4495864,2141118,73
LEARNING 3,16,16,16,16,4A,TMY15WA_BSEW0187,4495864,2141118,73
FOOD PREP,21,21,21,21,4A,TMY15WA_BSEW0188,4495864,2141118,73
GYM,17,17,17,17,4A,TMY15WA_BSEW0189,4495864,2141118,73
Unmet Hours (Heating),55,57,56,59,4A,TMY15WA_BSEW0190,4495864,2141118,73
Unmet Hours (Cooling),184,175,197,192,4A,TMY15WA_BSEW0191,4495864,2141118,73
UH Compliance,239,232,253,251,4A,TMY15WA_BSEW0192,4495864,2141118,73
