Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,14,14,14,14,5B,TMY15WA_BSEW0182,4896573,1920098,86
LEARNING 1,16,16,16,16,5B,TMY15WA_BSEW0183,4896573,1920098,86
LEARNING 2,13,13,13,13,5B,TMY15WA_BSEW0184,4896573,1920098,86
PERFORMANCE,10,10,10,10,5B,TMY15WA_BSEW0185,4896573,1920098,86
LEARNING 4,13,13,13,13,5B,TMY15WA_BSEW0186,4896573,1920098,86
LEARNING 3,14,14,14,14,5B,TMY15WA_BSEW0187,4896573,1920098,86
FOOD PREP,14,14,14,14,5B,TMY15WA_BSEW0188,4896573,1920098,86
GYM,14,14,14,14,5B,TMY15WA_BSEW0189,4896573,1920098,86
Unmet Hours (Heating),239,235,241,245,5B,TMY15WA_BSEW0190,4896573,1920098,86
Unmet Hours (Cooling),165,163,155,158,5B,TMY15WA_BSEW0191,4896573,1920098,86
UH Compliance,404,398,396,403,5B,TMY15WA_BSEW0192,4896573,1920098,86
