Iteration,No Shade,1 Ft Shade,2Ft Shade,3 Ft Shade,Climate Zone,Climate File,Peak Heating Load,Peak Cooling Load,EUI
ADMIN,15,15,15,15,7,TMY15WA_BSEW0182,5448941,1706564,92
LEARNING 1,17,17,17,17,7,TMY15WA_BSEW0183,5448941,1706564,92
LEARNING 2,14,14,14,14,7,TMY15WA_BSEW0184,5448941,1706564,92
PERFORMANCE,11,11,11,11,7,TMY15WA_BSEW0185,5448941,1706564,92
LEARNING 4,14,14,13,13,7,TMY15WA_BSEW0186,5448941,1706564,92
LEARNING 3,15,14,14,14,7,TMY15WA_BSEW0187,5448941,1706564,92
FOOD PREP,17,17,17,17,7,TMY15WA_BSEW0188,5448941,1706564,92
GYM,15,15,15,15,7,TMY15WA_BSEW0189,5448941,1706564,92
Unmet Hours (Heating),243,242,243,247,7,TMY15WA_BSEW0190,5448941,1706564,92
Unmet Hours (Cooling),140,136,144,143,7,TMY15WA_BSEW0191,5448941,1706564,92
UH Compliance,383,378,387,390,7,TMY15WA_BSEW0192,5448941,1706564,92
